function_schema,function_name,identity_args,return_type,language,prokind,security_definer
graphql,comment_directive,comment_ text,jsonb,sql,f,FALSE
graphql,exception,message text,text,plpgsql,f,FALSE
graphql,get_schema_version,,integer,sql,f,TRUE
graphql,increment_schema_version,,event_trigger,plpgsql,f,TRUE
graphql,resolve,"query text, variables jsonb, ""operationName"" text, extensions jsonb",jsonb,plpgsql,f,FALSE
graphql_public,graphql,"""operationName"" text, query text, variables jsonb, extensions jsonb",jsonb,sql,f,FALSE
pgbouncer,get_auth,p_usename text,"TABLE(username text, password text)",plpgsql,f,TRUE
public,_insert_shared_5_0,"target_table regclass, aff_id text, off_id text, affiliate text, ""case"" text, first_name text, last_name text, phone text, email text, debt_amount text, state text, ip text, trans_id text, unique_id text, url text, source_id text, sub1 text, sub2 text, sub3 text, sub4 text, sub5 text, income text, expenses text, tax_issues text",jsonb,plpgsql,f,TRUE
public,handle_updated_at,,trigger,plpgsql,f,FALSE
public,insert_dra_5_0,"aff_id text, off_id text, affiliate text, ""case"" text, first_name text, last_name text, phone text, email text, debt_amount text, state text, ip text, trans_id text, unique_id text, url text, source_id text, sub1 text, sub2 text, sub3 text, sub4 text, sub5 text, income text, expenses text, tax_issues text",jsonb,sql,f,TRUE
public,insert_dra_db_bogo_fb_rr,"aff_id text, off_id text, affiliate text, ""case"" text, first_name text, last_name text, phone text, email text, debt_amount text, state text, ip text, trans_id text, unique_id text, url text, source_id text, sub1 text, sub2 text, sub3 text, sub4 text, sub5 text, income text, expenses text, tax_issues text",jsonb,sql,f,TRUE
public,insert_dra_db_carbonari_rr,"aff_id text, off_id text, affiliate text, ""case"" text, first_name text, last_name text, phone text, email text, debt_amount text, state text, ip text, trans_id text, unique_id text, url text, source_id text, sub1 text, sub2 text, sub3 text, sub4 text, sub5 text, income text, expenses text, tax_issues text",jsonb,sql,f,TRUE
public,insert_dra_direct_,"aff_id text, off_id text, affiliate text, ""case"" text, first_name text, last_name text, phone text, email text, debt_amount text, state text, ip text, trans_id text, unique_id text, url text, source_id text, sub1 text, sub2 text, sub3 text, sub4 text, sub5 text, income text, expenses text, tax_issues text",jsonb,sql,f,TRUE
public,insert_efn_5_0,"aff_id text, off_id text, affiliate text, ""case"" text, first_name text, last_name text, phone text, email text, debt_amount text, state text, ip text, trans_id text, unique_id text, url text, source_id text, sub1 text, sub2 text, sub3 text, sub4 text, sub5 text, income text, expenses text, tax_issues text",jsonb,sql,f,TRUE
public,insert_gt_5_0,"aff_id text, off_id text, affiliate text, ""case"" text, first_name text, last_name text, phone text, email text, debt_amount text, state text, ip text, trans_id text, unique_id text, url text, source_id text, sub1 text, sub2 text, sub3 text, sub4 text, sub5 text, income text, expenses text, tax_issues text",jsonb,sql,f,TRUE
public,insert_gt_tra_eminem_tt_rr,"aff_id text, off_id text, affiliate text, ""case"" text, first_name text, last_name text, phone text, email text, debt_amount text, state text, ip text, trans_id text, unique_id text, url text, source_id text, sub1 text, sub2 text, sub3 text, sub4 text, sub5 text, income text, expenses text, tax_issues text",jsonb,sql,f,TRUE
public,insert_tra_5_0,"aff_id text, off_id text, affiliate text, ""case"" text, first_name text, last_name text, phone text, email text, debt_amount text, state text, ip text, trans_id text, unique_id text, url text, source_id text, sub1 text, sub2 text, sub3 text, sub4 text, sub5 text, income text, expenses text, tax_issues text",jsonb,sql,f,TRUE
public,insert_tra_direct,"aff_id text, off_id text, affiliate text, ""case"" text, first_name text, last_name text, phone text, email text, debt_amount text, state text, ip text, trans_id text, unique_id text, url text, source_id text, sub1 text, sub2 text, sub3 text, sub4 text, sub5 text, income text, expenses text, tax_issues text",jsonb,sql,f,TRUE
public,insert_tra_gt_illuminati_rr,"aff_id text, off_id text, affiliate text, ""case"" text, first_name text, last_name text, phone text, email text, debt_amount text, state text, ip text, trans_id text, unique_id text, url text, source_id text, sub1 text, sub2 text, sub3 text, sub4 text, sub5 text, income text, expenses text, tax_issues text",jsonb,sql,f,TRUE
public,insert_zzzmastermonitorlizard,log jsonb,jsonb,plpgsql,f,TRUE
public,mc_whoami,,jsonb,plpgsql,f,FALSE
public,myprecious_set_updated_at,,trigger,plpgsql,f,FALSE
public,rebuild_mission_roster,,json,plpgsql,f,TRUE
public,refresh_coreg_facts,"p_start_date date, p_end_date date",void,plpgsql,f,FALSE
public,route_lead,payload jsonb,jsonb,plpgsql,f,TRUE
public,rpc_campaign_forecast_v1,"p_campaign_key text, p_company text, p_traffic_type text, p_mode text",jsonb,plpgsql,f,FALSE
